transaction_id,customer_id,transaction_amount,payment_method,device_type,location,merchant_category,is_international,account_age_days,fraud_flag,transaction_timestamp,transaction_frequency_24h,avg_transaction_amount_7d,unusual_amount_flag,multiple_transactions_short_time,velocity_flag,risk_score,fraud_risk
T0000001,C20953,56.31,"Debit Card",Tablet,Canada,Fashion,0,1054,0,"2026-03-04 19:56:00",0,NULL,0,0,0,0,Low
T0000002,C24133,20.35,"Credit Card",Tablet,India,Electronics,0,97,0,"2026-03-09 19:56:00",0,NULL,0,0,0,0,Low
T0000003,C07165,48.72,"Debit Card",Tablet,UK,Travel,0,779,0,"2026-01-01 19:56:00",0,NULL,0,0,0,0,Low
T0000004,C19310,153.62,"Debit Card",Mobile,Australia,Fashion,0,286,1,"2025-12-09 19:56:00",0,NULL,0,0,0,0,Low
T0000005,C25019,115.32,PayPal,Mobile,India,Gaming,0,866,0,"2025-11-09 19:56:00",0,NULL,0,0,0,0,Low
T0000006,C08668,41.31,"Credit Card",Tablet,USA,Gaming,1,709,1,"2026-04-08 19:56:00",0,NULL,0,0,0,0,Low
T0000007,C09607,54.75,"Credit Card",Tablet,UK,Luxury,1,1909,1,"2025-06-13 19:56:00",0,NULL,0,0,0,0,Low
T0000008,C07468,86.64,PayPal,Mobile,USA,Fashion,0,656,1,"2025-12-03 19:56:00",0,NULL,0,0,0,0,Low
T0000009,C12131,22.44,"Google Pay",Tablet,Canada,Luxury,0,325,0,"2025-10-31 19:56:00",0,NULL,0,0,0,0,Low
T0000010,C05608,99.42,"Google Pay",Mobile,India,Fashion,0,907,1,"2025-07-31 19:56:00",0,NULL,0,0,0,0,Low
T0000011,C22434,138.33,"Credit Card",Mobile,USA,Fashion,0,785,1,"2025-11-15 19:56:00",0,NULL,0,0,0,0,Low
T0000012,C29922,4.2,"Apple Pay",Mobile,Australia,Fashion,1,1905,1,"2025-07-14 19:56:00",0,NULL,0,0,0,0,Low
T0000013,C08680,168.96,"Google Pay",Tablet,Germany,Travel,0,1805,1,"2026-02-18 19:56:00",0,NULL,0,0,0,0,Low
T0000014,C29420,24.53,"Google Pay",Desktop,UK,Travel,1,211,0,"2025-07-06 19:56:00",0,NULL,0,0,0,0,Low
T0000015,C02979,270.26,"Apple Pay",Mobile,Australia,Gaming,0,1026,1,"2026-04-06 19:56:00",0,NULL,0,0,0,0,Low
T0000016,C02082,389.83,"Google Pay",Tablet,India,Electronics,1,888,1,"2025-10-15 19:56:00",0,NULL,0,0,0,0,Low
T0000017,C22292,211.75,PayPal,Tablet,Canada,Travel,1,389,1,"2026-03-03 19:56:00",0,NULL,0,0,0,0,Low
T0000018,C05183,38.76,"Google Pay",Tablet,Australia,Fashion,0,1890,0,"2025-09-10 19:56:00",0,NULL,0,0,0,0,Low
T0000019,C16636,520.1,"Debit Card",Tablet,Germany,Groceries,1,1532,1,"2026-03-07 19:56:00",0,NULL,0,0,0,0,Low
T0000020,C24986,147.25,"Credit Card",Tablet,Canada,Electronics,0,1806,0,"2026-02-07 19:56:00",0,NULL,0,0,0,0,Low
T0000021,C11895,312.93,"Apple Pay",Mobile,UK,Electronics,0,1873,0,"2025-11-24 19:56:00",0,NULL,0,0,0,0,Low
T0000022,C24924,71.62,"Debit Card",Mobile,Australia,Groceries,0,108,1,"2025-08-01 19:56:00",0,NULL,0,0,0,0,Low
T0000023,C17291,107.37,"Apple Pay",Mobile,Germany,Luxury,1,1772,0,"2025-06-24 19:56:00",0,NULL,0,0,0,0,Low
T0000024,C21296,15.28,"Debit Card",Tablet,India,Fashion,1,1251,1,"2025-10-21 19:56:00",0,NULL,0,0,0,0,Low
T0000025,C02099,32.3,"Google Pay",Tablet,Germany,Fashion,0,216,0,"2025-11-08 19:56:00",0,NULL,0,0,0,0,Low
T0000026,C00236,66.94,"Credit Card",Mobile,USA,Gaming,0,1608,0,"2026-03-25 19:56:00",0,NULL,0,0,0,0,Low
T0000027,C07799,271.33,"Google Pay",Mobile,Germany,Gaming,1,1767,1,"2025-12-09 19:56:00",0,NULL,0,0,0,0,Low
T0000028,C15489,18.01,"Credit Card",Desktop,UK,Luxury,1,550,0,"2025-12-27 19:56:00",0,NULL,0,0,0,0,Low
T0000029,C14125,31.18,"Credit Card",Desktop,India,Electronics,1,587,0,"2025-10-31 19:56:00",0,NULL,0,0,0,0,Low
T0000030,C13194,117.49,"Debit Card",Mobile,UK,Travel,0,1061,0,"2025-11-08 19:56:00",0,NULL,0,0,0,0,Low
T0000031,C06013,29.58,"Google Pay",Mobile,USA,Electronics,1,1673,1,"2025-12-09 19:56:00",0,NULL,0,0,0,0,Low
T0000032,C01658,197.68,"Apple Pay",Mobile,UK,Fashion,0,1418,0,"2025-06-01 19:56:00",0,NULL,0,0,0,0,Low
T0000033,C28333,31.04,PayPal,Mobile,India,Travel,0,1778,1,"2025-10-07 19:56:00",0,NULL,0,0,0,0,Low
T0000034,C09348,43.62,"Credit Card",Mobile,UK,Gaming,1,327,0,"2025-09-26 19:56:00",0,NULL,0,0,0,0,Low
T0000035,C24109,30.14,"Credit Card",Tablet,Canada,Gaming,0,1407,0,"2025-07-27 19:56:00",1,134.73,0,0,0,0,Low
T0000036,C15624,29.63,"Credit Card",Mobile,Germany,Gaming,0,1863,0,"2025-08-16 19:56:00",1,15.82,0,0,0,0,Low
T0000037,C02227,428.14,"Google Pay",Desktop,USA,Gaming,0,1420,0,"2025-05-20 19:56:00",0,NULL,0,0,0,0,Low
T0000038,C01303,42.95,PayPal,Desktop,Australia,Fashion,0,122,0,"2025-06-17 19:56:00",0,NULL,0,0,0,0,Low
T0000039,C21946,450.68,PayPal,Desktop,India,Travel,0,1769,1,"2025-11-21 19:56:00",0,NULL,0,0,0,0,Low
T0000040,C10361,286.66,"Credit Card",Desktop,Germany,Gaming,0,1717,0,"2026-03-24 19:56:00",0,224.13,0,0,0,0,Low
T0000041,C06985,71.26,PayPal,Mobile,Canada,Groceries,1,1472,1,"2025-08-14 19:56:00",0,NULL,0,0,0,0,Low
T0000042,C05170,172.07,"Google Pay",Tablet,Australia,Groceries,1,893,1,"2025-09-18 19:56:00",0,NULL,0,0,0,0,Low
T0000043,C21738,491.97,"Google Pay",Desktop,USA,Fashion,0,1234,0,"2026-03-08 19:56:00",0,NULL,0,0,0,0,Low
T0000044,C08925,46.42,PayPal,Tablet,Canada,Gaming,0,669,0,"2025-12-07 19:56:00",0,NULL,0,0,0,0,Low
T0000045,C16009,47.34,"Credit Card",Mobile,Australia,Electronics,0,1544,1,"2025-12-23 19:56:00",0,NULL,0,0,0,0,Low
T0000046,C10930,30.82,"Apple Pay",Mobile,Australia,Gaming,1,1969,0,"2026-02-23 19:56:00",0,385.07,0,0,0,0,Low
T0000047,C00317,58.68,PayPal,Tablet,UK,Gaming,0,1986,0,"2026-03-04 19:56:00",0,NULL,0,0,0,0,Low
T0000048,C18106,14.45,"Credit Card",Mobile,USA,Groceries,1,1644,1,"2026-02-14 19:56:00",0,NULL,0,0,0,0,Low
T0000049,C06884,31.14,"Google Pay",Tablet,USA,Travel,0,1605,1,"2025-05-16 19:56:00",0,NULL,0,0,0,0,Low
T0000050,C20338,36.27,PayPal,Mobile,UK,Travel,0,462,0,"2026-02-10 19:56:00",0,NULL,0,0,0,0,Low
T0000051,C26288,276.81,"Apple Pay",Desktop,UK,Electronics,0,1132,0,"2025-05-23 19:56:00",0,NULL,0,0,0,0,Low
T0000052,C28135,144.62,"Debit Card",Mobile,India,Fashion,0,1953,0,"2025-09-02 19:56:00",0,NULL,0,0,0,0,Low
T0000053,C00776,228.4,"Credit Card",Desktop,Canada,Groceries,0,263,1,"2025-05-28 19:56:00",0,NULL,0,0,0,0,Low
T0000054,C11507,1.11,"Credit Card",Tablet,Germany,Electronics,1,1894,1,"2025-06-06 19:56:00",0,NULL,0,0,0,0,Low
T0000055,C28739,40.08,"Credit Card",Tablet,Canada,Gaming,0,1753,0,"2025-12-18 19:56:00",0,NULL,0,0,0,0,Low
T0000056,C14240,623.44,"Apple Pay",Desktop,Germany,Gaming,1,407,0,"2025-11-05 19:56:00",0,166.82,1,0,0,1,Medium
T0000057,C06229,47.24,"Google Pay",Tablet,India,Gaming,0,410,0,"2025-12-21 19:56:00",0,NULL,0,0,0,0,Low
T0000058,C22507,44.19,PayPal,Desktop,India,Gaming,0,572,0,"2025-05-22 19:56:00",0,NULL,0,0,0,0,Low
T0000059,C10287,267.13,"Apple Pay",Tablet,Canada,Groceries,0,807,1,"2025-05-26 19:56:00",0,NULL,0,0,0,0,Low
T0000060,C13186,124.31,"Apple Pay",Tablet,UK,Luxury,1,825,1,"2025-05-09 19:56:00",0,NULL,0,0,0,0,Low
T0000061,C12424,39.55,"Apple Pay",Tablet,Germany,Gaming,0,1205,0,"2025-05-19 19:56:00",0,NULL,0,0,0,0,Low
T0000062,C27320,338.53,"Google Pay",Desktop,UK,Gaming,1,1925,1,"2026-04-30 19:56:00",0,NULL,0,0,0,0,Low
T0000063,C21454,1.87,"Google Pay",Desktop,India,Travel,1,616,0,"2025-11-17 19:56:00",0,NULL,0,0,0,0,Low
T0000064,C26010,397.65,"Credit Card",Desktop,Germany,Fashion,0,990,1,"2026-02-03 19:56:00",0,NULL,0,0,0,0,Low
T0000065,C22047,25.42,"Apple Pay",Mobile,UK,Gaming,0,1826,0,"2025-11-23 19:56:00",0,NULL,0,0,0,0,Low
T0000066,C27845,60.24,"Apple Pay",Desktop,Australia,Travel,1,1321,0,"2026-03-24 19:56:00",0,NULL,0,0,0,0,Low
T0000067,C13096,133.46,"Credit Card",Tablet,Australia,Travel,0,499,0,"2025-12-27 19:56:00",0,NULL,0,0,0,0,Low
T0000068,C07171,251.83,"Credit Card",Mobile,Germany,Travel,1,1844,0,"2026-01-30 19:56:00",0,NULL,0,0,0,0,Low
T0000069,C04370,148.1,"Google Pay",Desktop,Germany,Travel,1,1900,1,"2025-09-05 19:56:00",0,NULL,0,0,0,0,Low
T0000070,C29400,35.52,PayPal,Desktop,Canada,Gaming,1,912,0,"2026-02-08 19:56:00",0,NULL,0,0,0,0,Low
T0000071,C15880,83.54,PayPal,Desktop,India,Fashion,0,1916,0,"2025-06-14 19:56:00",0,NULL,0,0,0,0,Low
T0000072,C08904,49.5,"Debit Card",Tablet,USA,Fashion,1,1698,1,"2025-11-10 19:56:00",0,NULL,0,0,0,0,Low
T0000073,C12552,20.22,"Apple Pay",Tablet,UK,Travel,0,579,0,"2025-05-10 19:56:00",0,NULL,0,0,0,0,Low
T0000074,C10843,3.72,"Apple Pay",Desktop,USA,Travel,1,453,0,"2025-07-27 19:56:00",0,NULL,0,0,0,0,Low
T0000075,C29650,47.46,"Credit Card",Tablet,India,Groceries,0,1653,0,"2025-07-05 19:56:00",0,NULL,0,0,0,0,Low
T0000076,C09785,117.03,"Apple Pay",Tablet,Australia,Fashion,1,1383,0,"2025-10-13 19:56:00",0,NULL,0,0,0,0,Low
T0000077,C08944,93.35,"Apple Pay",Mobile,India,Luxury,1,379,1,"2025-09-19 19:56:00",0,481.42,0,0,0,0,Low
T0000078,C05409,87.15,"Apple Pay",Tablet,Germany,Gaming,0,1637,1,"2025-09-03 19:56:00",0,NULL,0,0,0,0,Low
T0000079,C18494,163.53,"Apple Pay",Mobile,Australia,Fashion,0,1863,1,"2025-05-26 19:56:00",0,99.70,0,0,0,0,Low
T0000080,C01648,216.93,PayPal,Desktop,UK,Groceries,1,1091,1,"2025-12-18 19:56:00",0,NULL,0,0,0,0,Low
T0000081,C24944,296.11,"Apple Pay",Desktop,Canada,Electronics,1,497,0,"2025-10-18 19:56:00",0,NULL,0,0,0,0,Low
T0000082,C24545,327.29,"Credit Card",Desktop,UK,Electronics,0,799,0,"2025-07-28 19:56:00",0,NULL,0,0,0,0,Low
T0000083,C08103,157.14,"Debit Card",Tablet,UK,Travel,0,1006,0,"2026-01-18 19:56:00",0,NULL,0,0,0,0,Low
T0000084,C21937,15.36,PayPal,Desktop,Australia,Fashion,0,1080,1,"2026-03-03 19:56:00",0,NULL,0,0,0,0,Low
T0000085,C19854,4.99,PayPal,Mobile,Canada,Gaming,0,1237,0,"2025-06-24 19:56:00",0,NULL,0,0,0,0,Low
